;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.08648399647804789;1034.360732;3.0299999999999727;754.0;48.808848170151634;2.7043498473674346;2.456970361956169;-0.2541393662095288;7.86830017015177;1000.0;1135766;;4.359932314310904;2021-01-04;BRSTNCNTF0N5;2018-01-02
1;1;0.09481199644729708;1020.823861;4.5;1256.0;48.808848170151634;4.243076697754182;3.716343625673212;-0.3793732248762467;7.66318817015167;1000.0;970823;;9.50150633920793;2023-01-02;BRSTNCNTF147;2018-01-02
2;2;0.06788499683234753;1029.905231;0.37336599999980535;250.0;48.808848170151634;0.9658612451790839;0.9075146511309979;-0.09346540864089548;0.621164894200092;1000.0;368392;;0.8415023429691812;2019-01-02;BRSTNCNTF162;2018-01-02
3;3;0.09873199617859109;1007.7525019999999;5.67999999999995;1759.0;48.808848170151634;5.658045010272944;4.750616439785946;-0.47874456032366197;1.8294788105777116e-05;1000.0;782308;;15.600431381122341;2025-01-02;BRSTNCNTF170;2018-01-02
4;4;0.10049999631180091;999.124173;6.6299999999999955;2262.0;48.808848170151634;6.986759454878043;5.60164818086804;-0.5596742106146735;11.64975117015183;1000.0;189556;;22.168998847239223;2027-01-04;BRSTNCNTF1P8;2018-01-02
5;0;0.08623699648728166;1035.328524;3.0399999999999636;753.0;0.0;2.700381593399181;2.453980035903397;-0.25406755284973315;0.9677919999999176;1000.0;140601;;4.351495959788609;2021-01-04;BRSTNCNTF0N5;2018-01-03
6;1;0.09421399635460036;1023.46159;4.5499999999999545;1255.0;0.0;4.239108443785928;3.715823170202271;-0.38030022899340565;2.6377290000000357;1000.0;222008;;9.500298615176183;2023-01-02;BRSTNCNTF147;2018-01-03
7;2;0.06726399700857504;1030.752222;0.5398159999999734;249.0;0.0;0.9618929912108299;0.9043305074249307;-0.09321406799506349;0.8469910000001164;1000.0;102438;;0.83737753303239;2019-01-02;BRSTNCNTF162;2018-01-03
8;3;0.09809999628406527;1011.1598859999999;5.740000000000009;1758.0;0.0;5.654076756304691;4.75246082342936;-0.48054977444382985;3.407383999999979;1000.0;538100;;15.61132263125829;2025-01-02;BRSTNCNTF170;2018-01-03
9;4;0.10024999620250793;1000.904132;6.709999999999923;2261.0;0.0;6.982791200909789;5.601281969383524;-0.5606346267653066;1.7799589999999625;1000.0;646473;;22.167653132941457;2027-01-04;BRSTNCNTF1P8;2018-01-03
10;0;0.0860499965470861;1036.1431400000001;3.0299999999999727;752.0;0.0;2.696413339430927;2.450827619932009;-0.25394082257150785;0.8146160000001146;1000.0;1133981;;4.342527617417654;2021-01-04;BRSTNCNTF0N5;2018-01-04
11;1;0.09433299637916727;1023.375185;4.539999999999964;1254.0;0.0;4.235140189817674;3.711579043467253;-0.3798337890250423;-0.08640500000001339;1000.0;750912;;9.482406187900756;2023-01-02;BRSTNCNTF147;2018-01-04
